"FIPS","State","County","PCT_NHWHITE10","PCT_NHBLACK10","PCT_HISP10","PCT_NHASIAN10","PCT_NHNA10","PCT_NHPI10","PCT_65OLDER10","PCT_18YOUNGER10","MEDHHINC15","POVRATE15","PERPOV10","CHILDPOVRATE15","PERCHLDPOV10","METRO13","POPLOSS10"
"01001","AL","Autauga","77.24615638342711","17.58259881622107","2.400542412636749","0.8557658829781385","0.3976471019405912","0.04031445273130417","11.99538216268714","26.77795898920672","56580","12.7","0","18.8","0","1","0"
"01003","AL","Baldwin","83.50478698598195","9.308424546676543","4.384824294296766","0.7351932625572656","0.6287548349930048","0.04334348338957013","16.77118481332126","22.98740844374948","52387","12.9","0","19.6","0","1","0"
"01005","AL","Barbour","46.75310485486397","46.69118986050916","5.05153512765415","0.3897002585861529","0.2185235094875624","0.08740940379502495","14.23680664311469","21.90698182612813","31433","32","1","45.2","1","0","0"
"01007","AL","Bibb","75.02072878027492","21.92450360026184","1.771765219288675","0.09600698232598735","0.2792930394937814","0.03054767619463234","12.68164957451451","22.69692341261183","40767","22.2","0","29.3","1","1","0"
"01009","AL","Blount","88.88733819475942","1.263040368444925","8.070199923240642","0.2006210529988486","0.4971913052580161","0.03140155612155891","14.7220962283242","24.60835281392833","50487","14.7","0","22.2","0","1","0"
"01011","AL","Bullock","21.9168041048195","69.97434487813817","7.119296316657504","0.1832508704416346","0.1832508704416346","0.03665017408832692","13.45977643393806","22.2649807586586","28251","39.6","1","51.2","1","0","0"
"01013","AL","Butler","54.06024729078149","43.18995560223421","0.9118250823506946","0.8306678760681721","0.2816632453334607","0.03341767317515635","16.65632310116007","24.13710793908436","33868","25.8","1","36","1","0","1"
"01015","AL","Calhoun","73.61350065782815","20.39014269810748","3.283237189218365","0.6999966265222818","0.4048173261815606","0.07927672637722229","14.32884660796815","22.87723914583544","42091","20","0","30.7","0","1","0"
"01017","AL","Chambers","58.14116615519509","38.59710653222271","1.566564372351308","0.4851673242729797","0.1665935992985533","0.02045886307175215","16.67689609820254","22.51351746310098","35560","22.4","0","34.4","1","0","1"
"01019","AL","Cherokee","92.07356958713302","4.640424795105622","1.231290161222055","0.1885413059371273","0.4694293739659086","0.003847781753818924","17.89603293701181","21.41675324175613","39144","19.4","0","30.2","0","0","0"
"01021","AL","Chilton","81.10120752468896","9.557088192837339","7.83630822812364","0.2864147744197237","0.3070366381779437","0.02520450014893568","13.56689503471347","25.11284742112137","42767","20.2","0","28.1","0","1","0"
"01023","AL","Choctaw","55.55956418211993","43.22101161699978","0.5267335305577603","0.08658633379031676","0.1298795006854752","0","18.17591456815066","22.66397286961541","35089","24.4","1","33.5","1","0","1"
"01025","AL","Clarke","53.97359965935045","43.66507954941354","1.049045794139279","0.2864553091007626","0.3716176982928812","0.01548407076220338","16.15762784035923","24.73193202492935","37317","22.2","1","30.9","1","0","0"
"01027","AL","Clay","80.289979902383","14.69997128911858","2.863910422049957","0.1650875681883434","0.3947746195808211","0","17.57823715188056","22.56675279931094","38908","18.4","0","27.3","0","0","0"
"01029","AL","Cleburne","93.21399946566925","3.299492385786802","2.05049425594443","0.1536200908362276","0.3339567192091905","0.00667913438418381","15.76943628105797","23.71760619823671","42136","18.9","0","27.7","0","0","0"
"01031","AL","Coffee","72.3432369664451","16.53119244013774","6.366621286137583","1.259309682069352","1.205253463602146","0.1021061904380556","14.43501241290943","24.19316088732282","46858","16.2","0","23.7","0","0","0"
"01033","AL","Colbert","79.61710884103769","15.98809436319542","2.008157565958697","0.4115528771955611","0.4813698831483795","0.02572205482472257","17.38627177188212","22.10994341147939","41171","18.1","0","26.9","0","1","0"
"01035","AL","Conecuh","51.13395827033565","46.28061687329906","1.217115210160266","0.1285152706380405","0.3326277592984578","0","17.85606289688539","22.99667372240702","29981","28.3","1","41","1","0","0"
"01037","AL","Coosa","65.89825808128954","30.8172285293353","1.993240315451945","0.1213276713753358","0.3466504896438166","0","17.07253661495797","20.53904151139614","36078","20.3","0","32.2","0","0","0"
"01039","AL","Covington","84.07520190652721","12.40566662253409","1.278962001853568","0.3918972593671389","0.5189990732159407","0.002647954455183371","18.37415596451741","22.56851582152787","36355","22.3","0","34.1","1","0","0"
"01041","AL","Crenshaw","72.05522795915432","23.30648640874443","1.466992665036675","1.35912555731339","0.402703868833597","0.007191140514885661","15.89242053789731","23.78829282324176","36759","19.9","0","29.6","1","0","0"
"01043","AL","Cullman","92.73934780986494","1.021068079496555","4.295699325920951","0.4216103275874934","0.4937442479416959","0.02238638907544213","15.93164689202298","23.18359326418427","39290","19.4","0","24.7","0","0","0"
"01045","AL","Dale","71.0533123718931","18.9966368828481","5.613818630475016","1.048735348550278","0.6706334202304431","0.08358042626017392","13.45047859744085","24.82935662971881","45294","18.5","0","29","0","0","0"
"01047","AL","Dallas","28.92743039707896","69.17845732542219","0.7051574623459608","0.3286170698311274","0.178000912825194","0.0136923779096303","14.06891830214514","26.46052031036056","29682","34.6","1","50.1","1","0","1"
"01049","AL","DeKalb","81.56070258335795","1.44707421001561","13.62696705058432","0.233444430381527","1.216442363132656","0.04922021122502074","13.88713102420228","25.82795426739231","37305","20.6","0","28.9","0","0","0"
"01051","AL","Elmore","74.96437713579563","19.94123803639207","2.684639925349609","0.6481469805682005","0.339205326406315","0.06304931717589499","11.8986671374349","23.58927152818935","53548","14","0","19.9","0","1","0"
"01053","AL","Escambia","61.34815626712597","31.73882408204807","1.873744095618362","0.2244317440434249","3.324721417573528","0.03131605730838487","15.16741042302774","22.64933844828936","36840","24.4","1","32","1","0","0"
